version,pattern,thread,n_rows,n_cols,runtime,flops
heat_omp, areas, 16, 1000,1000,3.099273e+00,3.875102e+10
heat_omp, areas, 16,10000,100,2.936222e+00,4.090291e+10
heat_omp, areas, 16,100,10000,4.340267e+00,2.767111e+10
heat_omp, plasma, 16, 1000,1000,3.035271e+00,3.956813e+10
heat_omp, plasma, 16,10000,100,3.545816e+00,3.387091e+10
heat_omp, plasma, 16,100,10000,3.929412e+00,3.056437e+10
heat_omp, gradient, 16, 1000,1000,3.052224e+00,3.934836e+10
heat_omp, gradient, 16,10000,100,2.942330e+00,4.081799e+10
heat_omp, gradient, 16,100,10000,4.337189e+00,2.769075e+10
heat_omp, uni, 16, 1000,1000,2.965273e-03,4.050217e+09
heat_omp, uni, 16,10000,100,3.032686e-03,3.960186e+09
heat_omp, uni, 16,100,10000,3.187417e-03,3.767941e+09
heat_omp, pat1, 16, 1000,1000,2.978982e+00,4.031579e+10
heat_omp, pat1, 16,10000,100,2.930136e+00,4.098786e+10
heat_omp, pat1, 16,100,10000,4.287324e+00,2.801281e+10
heat_omp, pat2, 16, 1000,1000,3.030843e+00,3.962594e+10
heat_omp, pat2, 16,10000,100,1.281595e+01,9.371138e+09
heat_omp, pat2, 16,100,10000,5.204951e+00,2.307419e+10
heat_omp, areas, 16, 3000,3000,8.634581e+00,1.390780e+10
heat_omp, areas, 16,30000,300,8.619045e+00,1.393286e+10
heat_omp, areas, 16,300,30000,9.211969e+00,1.303608e+10
heat_omp, plasma, 16, 3000,3000,7.938735e+00,1.512684e+10
heat_omp, plasma, 16,30000,300,8.547158e+00,1.405005e+10
heat_omp, plasma, 16,300,30000,8.803539e+00,1.364088e+10
heat_omp, gradient, 16, 3000,3000,7.600402e+00,1.580021e+10
heat_omp, gradient, 16,30000,300,7.816663e+00,1.536308e+10
heat_omp, gradient, 16,300,30000,8.390579e+00,1.431224e+10
heat_omp, uni, 16, 3000,3000,1.692383e-02,6.386853e+09
heat_omp, uni, 16,30000,300,1.677317e-02,6.444221e+09
heat_omp, uni, 16,300,30000,1.910669e-02,5.657180e+09
heat_omp, pat1, 16, 3000,3000,7.895247e+00,1.521016e+10
heat_omp, pat1, 16,30000,300,7.829629e+00,1.533764e+10
heat_omp, pat1, 16,300,30000,8.902200e+00,1.348970e+10
